,ARTG ID,Search String,Product name,Active ingredients,Sponsor name,Start Date,Dosage Form,Route of Administration,Effective Date,Status,Ingredient 1,Ingredient 1 strength,Ingredient 2,Ingredient 2 strength,Ingredient 3,Ingredient 3 strength
0,66879,abacavir,['ZIAGEN abacavir (as sulfate) 20mg/mL oral solution bottle'],['abacavir sulfate'],['ViiV Healthcare Pty Ltd'],['9/06/1999'],"['Oral Liquid, solution']",['Oral '],['25/01/2019'],['Active'],['abacavir sulfate'],['23.4mg/mL'],,,,
1,66878,abacavir,['ZIAGEN abacavir (as sulfate) 300mg tablet blister pack'],['abacavir sulfate'],['ViiV Healthcare Pty Ltd'],['9/06/1999'],"['Tablet, film coated']",['Oral '],['25/01/2019'],['Active'],['abacavir sulfate'],['351mg'],,,,
2,99090,"abacavir, lamivudine",['KIVEXA abacavir 600 mg (as sulfate) and lamivudine 300 mg tablet blister pack'],"['abacavir sulfate,lamivudine']",['ViiV Healthcare Pty Ltd'],['24/03/2005'],"['Tablet, film coated']",['Oral '],['6/06/2019'],['Active'],['abacavir sulfate'],['702mg'],['lamivudine'],['300mg'],,
3,296702,"abacavir, lamivudine",['BEZORT abacavir 600mg (as sulfate) and lamivudine 300mg tablet blister pack'],"['abacavir sulfate,lamivudine']",['ViiV Healthcare Pty Ltd'],['11/12/2017'],"['Tablet, film coated']",['Oral '],['11/12/2017'],['Active'],['abacavir sulfate'],['702mg'],['lamivudine'],['300mg'],,
4,296381,"abacavir, lamivudine",['ABACAVIR/LAMIVUDINE 600/300 SUN abacavir 600 mg / lamivudine 300 mg tablets bottle'],"['abacavir sulfate,lamivudine']",['Sun Pharma ANZ Pty Ltd'],['5/09/2018'],"['Tablet, film coated']",['Oral '],['5/09/2018'],['Active'],['abacavir sulfate'],['702.78mg'],['lamivudine'],"['600/300', '300mg']",,
5,296380,"abacavir, lamivudine",['ABACAVIR/LAMIVUDINE 600/300 SUN abacavir 600 mg / lamivudine 300 mg tablets blister pack'],"['abacavir sulfate,lamivudine']",['Sun Pharma ANZ Pty Ltd'],['5/09/2018'],"['Tablet, film coated']",['Oral '],['5/09/2018'],['Active'],['abacavir sulfate'],['702.78mg'],['lamivudine'],"['600/300', '300mg']",,
6,281029,"abacavir, lamivudine",['ABACAVIR/LAMIVUDINE GENERICHEALTH 600/300 abacavir (as hydrochloride) 600 mg and lamivudine 300 mg film-coated tablet bottle pack'],"['abacavir hydrochloride monohydrate,lamivudine']",['Lupin Australia Pty Limited'],['6/10/2017'],"['Tablet, film coated']",['Oral '],['17/10/2019'],['Active'],['abacavir hydrochloride monohydrate'],['714.162mg'],['lamivudine'],"['300', '300mg', 'G']",,
7,281028,"abacavir, lamivudine",['ABACAVIR/LAMIVUDINE GENERICHEALTH 600/300 abacavir (as hydrochloride) 600 mg and lamivudine 300 mg film-coated tablet blister pack'],"['abacavir hydrochloride monohydrate,lamivudine']",['Lupin Australia Pty Limited'],['6/10/2017'],"['Tablet, film coated']",['Oral '],['17/10/2019'],['Active'],['abacavir hydrochloride monohydrate'],['714.162mg'],['lamivudine'],"['300', '300mg', 'G']",,
8,281027,"abacavir, lamivudine",['ABACAVIR/LAMIVUDINE GH 600/300 abacavir (as hydrochloride) 600 mg and lamivudine 300 mg film-coated tablet bottle pack'],"['abacavir hydrochloride monohydrate,lamivudine']",['Lupin Australia Pty Limited'],['6/10/2017'],"['Tablet, film coated']",['Oral '],['17/10/2019'],['Active'],['abacavir hydrochloride monohydrate'],['714.162mg'],['lamivudine'],"['300mg', 'G']",,
9,281026,"abacavir, lamivudine",['ABACAVIR/LAMIVUDINE GH 600/300 abacavir (as hydrochloride) 600 mg and lamivudine 300 mg film-coated tablet blister pack'],"['abacavir hydrochloride monohydrate,lamivudine']",['Lupin Australia Pty Limited'],['6/10/2017'],"['Tablet, film coated']",['Oral '],['17/10/2019'],['Active'],['abacavir hydrochloride monohydrate'],['714.162mg'],['lamivudine'],"['300mg', 'G']",,
